Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 0-4,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
Citywide,2021,Chicago,"2,696,561","540,255","519,276","464,574","338,452","314,035","269,647","167,261","83,061","149,430","215,061","174,812","2,547,131","2,156,306","373,166","1,387,010","1,309,551","777,744","184,263","757,971","887,130","89,453",Citywide-Chicago-2021
ZIP Code,2021,60601,"14,804",999,"5,065","3,739","1,390",970,"1,515",910,216,359,436,184,"14,445","13,805","1,963","8,260","6,544","1,234","3,827",908,"8,124",711,ZIP_CODE-60601-2021
ZIP Code,2021,60602,"1,142",119,163,658,67,95,33,7,0,60,59,0,"1,082","1,023",24,540,602,311,101,38,537,155,ZIP_CODE-60602-2021
ZIP Code,2021,60603,"1,275",33,399,266,81,196,191,93,16,12,11,10,"1,263","1,242",224,595,680,78,397,71,723,6,ZIP_CODE-60603-2021
ZIP Code,2021,60604,687,6,335,122,38,74,61,33,18,0,0,6,687,681,71,421,266,30,70,72,515,0,ZIP_CODE-60604-2021
ZIP Code,2021,60605,"32,077","2,841","9,038","8,714","3,740","3,127","2,539","1,640",438,"1,196","1,174",461,"30,881","29,236","3,143","16,395","15,682","2,841","4,942","4,571","18,296","1,427",ZIP_CODE-60605-2021
ZIP Code,2021,60606,"3,298",121,790,"1,202",367,478,184,156,0,75,46,0,"3,223","3,177",256,"1,567","1,731",179,"1,087",16,"1,967",49,ZIP_CODE-60606-2021
ZIP Code,2021,60607,"29,990","3,300","11,585","7,356","3,360","1,967","1,289",624,509,"1,622","1,127",515,"28,368","26,690","1,594","14,801","15,189","2,743","6,690","3,717","15,534","1,306",ZIP_CODE-60607-2021
ZIP Code,2021,60608,"83,689","15,392","19,489","16,442","10,590","9,000","7,655","3,393","1,728","3,924","6,462","4,994","79,765","68,297","8,837","36,923","46,766","39,476","11,486","14,042","16,943","1,742",ZIP_CODE-60608-2021
ZIP Code,2021,60609,"61,861","15,202","11,900","8,011","8,603","7,565","5,743","3,821","1,016","3,888","6,090","5,212","57,973","46,659","7,772","30,963","30,898","33,408","3,924","14,573","9,140",816,ZIP_CODE-60609-2021
ZIP Code,2021,60610,"42,422","3,817","13,841","8,534","3,536","4,139","4,285","2,945","1,325","1,287","1,292","1,231","41,135","38,605","6,390","22,094","20,328","2,109","4,019","4,967","29,571","1,756",ZIP_CODE-60610-2021
ZIP Code,2021,60611,"34,562","2,093","8,272","6,821","3,200","4,446","4,710","3,601","1,419","1,117",590,386,"33,445","32,469","7,339","18,203","16,359","2,232","7,076","1,077","23,254",923,ZIP_CODE-60611-2021
ZIP Code,2021,60612,"33,908","7,522","6,902","6,022","4,567","3,769","3,091","1,459",576,"1,967","2,924","2,368","31,941","26,386","3,386","17,922","15,986","5,119","1,535","18,516","7,703","1,035",ZIP_CODE-60612-2021
ZIP Code,2021,60613,"53,282","6,579","14,724","13,666","5,978","5,383","3,432","2,264","1,256","2,936","2,315","1,328","50,346","46,703","4,757","26,335","26,947","6,124","4,572","3,140","37,714","1,732",ZIP_CODE-60613-2021
ZIP Code,2021,60614,"72,119","10,625","23,433","14,255","7,267","6,302","5,659","3,127","1,451","3,396","4,108","3,078","68,723","61,494","7,001","35,674","36,445","4,411","5,148","2,734","57,602","2,224",ZIP_CODE-60614-2021
ZIP Code,2021,60615,"41,767","6,101","11,172","6,657","4,594","4,703","4,983","2,358","1,199","1,759","2,232","2,103","40,008","35,666","5,885","22,768","18,999","2,205","3,395","22,218","11,805","2,144",ZIP_CODE-60615-2021
ZIP Code,2021,60616,"53,085","7,072","10,961","9,848","5,886","7,332","6,280","3,176","2,530","2,257","2,503","2,285","50,828","46,013","8,695","27,548","25,537","3,988","19,773","12,330","15,582","1,412",ZIP_CODE-60616-2021
ZIP Code,2021,60617,"84,193","21,647","13,650","10,388","10,017","10,635","8,727","5,763","3,366","5,041","7,980","8,626","79,152","62,546","13,507","46,014","38,179","33,740",171,"44,794","4,880",608,ZIP_CODE-60617-2021
ZIP Code,2021,60618,"95,078","20,763","15,721","20,655","15,333","10,280","6,732","3,849","1,745","6,673","7,628","6,390","88,405","74,315","8,176","47,846","47,232","36,407","6,077","2,417","45,911","4,266",ZIP_CODE-60618-2021
ZIP Code,2021,60619,"63,481","13,711","8,621","8,675","7,304","9,386","8,234","4,333","3,217","3,597","5,124","4,987","59,884","49,770","11,094","35,506","27,975","1,043",168,"60,173",607,"1,490",ZIP_CODE-60619-2021
ZIP Code,2021,60620,"69,357","16,375","11,103","7,892","8,218","9,119","7,917","5,087","3,646","4,566","6,255","5,554","64,791","52,982","12,580","38,240","31,117","1,937",204,"65,454",774,988,ZIP_CODE-60620-2021
ZIP Code,2021,60621,"26,538","7,066","4,325","2,919","2,744","3,611","3,047","1,585","1,241","2,069","2,730","2,257","24,469","19,472","4,039","13,937","12,601",959,144,"24,499",398,538,ZIP_CODE-60621-2021
ZIP Code,2021,60622,"54,650","7,711","14,330","17,062","6,684","3,977","2,478","1,426",982,"3,549","2,446","1,701","51,101","46,939","3,568","27,177","27,473","11,270","2,605","3,189","35,064","2,522",ZIP_CODE-60622-2021
ZIP Code,2021,60623,"77,352","20,412","14,022","11,283","9,656","8,521","6,635","4,999","1,824","5,125","8,375","6,912","72,227","56,940","9,860","39,857","37,495","51,574",263,"21,992","3,002",521,ZIP_CODE-60623-2021
ZIP Code,2021,60624,"36,986","9,901","7,066","4,505","4,707","4,350","3,824","1,591","1,042","2,668","3,727","3,498","34,318","27,085","4,110","19,078","17,908","2,859",137,"32,122","1,262",606,ZIP_CODE-60624-2021
ZIP Code,2021,60625,"80,028","15,667","14,404","17,535","11,247","9,346","6,949","3,029","1,851","4,751","5,979","4,797","75,277","64,361","8,047","40,506","39,522","25,898","10,121","3,780","37,163","3,066",ZIP_CODE-60625-2021
ZIP Code,2021,60632,"87,395","23,015","17,076","12,882","10,088","10,607","6,700","5,277","1,750","6,159","8,628","8,227","81,236","64,380","9,802","42,553","44,842","72,204","6,020",881,"7,916",374,ZIP_CODE-60632-2021
ZIP Code,2021,60633,"12,674","2,808","2,068","1,784","1,207","2,117","1,391",792,507,696,"1,193",909,"11,978","9,866","1,926","6,467","6,207","5,271",10,"3,295","4,039",59,ZIP_CODE-60633-2021
ZIP Code,2021,60634,"77,520","15,738","10,821","10,920","11,140","12,006","8,785","5,645","2,465","3,661","5,869","6,201","73,859","61,782","11,458","40,219","37,301","31,680","4,147","1,919","38,741","1,033",ZIP_CODE-60634-2021
ZIP Code,2021,60636,"30,412","6,796","4,736","3,468","3,139","3,953","3,405","3,498","1,417","2,017","2,411","2,368","28,395","23,616","6,266","15,764","14,648","4,273",49,"25,213",341,536,ZIP_CODE-60636-2021
ZIP Code,2021,60637,"49,514","11,594","12,076","5,686","5,685","5,273","5,224","2,561","1,415","2,670","4,530","4,278","46,844","37,920","6,060","27,240","22,274","1,377","2,503","36,352","7,374","1,908",ZIP_CODE-60637-2021
ZIP Code,2021,60638,"58,959","14,291","7,806","9,061","8,027","8,239","6,491","2,894","2,150","3,653","5,613","5,025","55,306","44,668","8,057","28,947","30,012","32,605",384,"1,583","23,996",391,ZIP_CODE-60638-2021
ZIP Code,2021,60639,"89,037","23,367","14,895","13,204","12,078","9,824","8,980","4,439","2,250","5,889","8,890","8,587","83,148","65,670","10,528","45,013","44,024","66,456","1,772","11,773","8,026","1,010",ZIP_CODE-60639-2021
ZIP Code,2021,60640,"67,936","8,275","14,058","14,701","9,720","9,101","5,610","3,493","2,978","3,011","3,162","2,087","64,925","59,661","8,976","32,418","35,518","9,246","7,216","11,301","37,673","2,500",ZIP_CODE-60640-2021
ZIP Code,2021,60641,"71,003","16,177","10,483","12,180","10,340","9,095","7,209","3,626","1,893","4,432","6,361","5,346","66,571","54,826","8,030","36,504","34,499","38,552","3,487","1,694","25,142","2,128",ZIP_CODE-60641-2021
ZIP Code,2021,60642,"21,374","1,884","7,010","6,681","2,697","1,258","1,258",399,187,996,503,385,"20,378","19,490","1,155","10,672","10,702","3,406","1,583","2,021","13,545",819,ZIP_CODE-60642-2021
ZIP Code,2021,60643,"49,796","11,440","6,035","5,723","6,039","7,664","6,678","3,271","2,946","2,802","4,116","4,491","46,994","38,356","8,986","26,963","22,833","1,817",292,"35,528","10,557","1,602",ZIP_CODE-60643-2021
ZIP Code,2021,60644,"47,630","12,279","7,590","5,998","6,242","5,407","5,697","3,011","1,406","3,357","5,033","3,887","44,273","35,351","6,798","25,600","22,030","4,335",303,"40,264","1,811",917,ZIP_CODE-60644-2021
ZIP Code,2021,60645,"48,585","13,057","7,196","6,388","6,782","5,537","5,457","2,663","1,505","4,211","4,918","3,918","44,374","35,528","6,744","24,038","24,547","10,050","7,216","7,263","21,537","2,519",ZIP_CODE-60645-2021
ZIP Code,2021,60646,"29,326","7,002","3,256","3,810","4,221","3,711","3,288","2,280","1,758","2,014","2,668","2,320","27,312","22,324","5,361","15,857","13,469","4,113","3,259",198,"20,895",861,ZIP_CODE-60646-2021
ZIP Code,2021,60647,"85,564","14,620","20,816","22,494","10,556","7,690","5,404","2,522","1,462","5,488","5,247","3,860","80,076","70,944","6,319","42,804","42,760","32,028","3,596","4,961","42,071","2,908",ZIP_CODE-60647-2021
ZIP Code,2021,60649,"48,973","10,532","7,859","7,993","5,542","5,755","6,692","2,991","1,609","3,375","4,157","3,000","45,598","38,441","7,360","26,516","22,457","1,409",294,"45,258","1,394",618,ZIP_CODE-60649-2021
ZIP Code,2021,60651,"64,638","16,307","11,658","9,381","8,423","7,136","6,552","3,379","1,802","3,826","6,323","6,152","60,812","48,331","8,123","34,297","30,341","25,519",161,"34,288","3,583","1,087",ZIP_CODE-60651-2021
ZIP Code,2021,60652,"43,485","11,059","6,951","5,594","6,664","5,503","4,559","2,048","1,107","2,282","4,342","4,434","41,203","32,426","5,265","22,212","21,273","20,528",358,"18,340","3,615",644,ZIP_CODE-60652-2021
ZIP Code,2021,60653,"34,519","8,652","5,294","4,731","4,096","4,416","3,959","2,055","1,316","2,726","3,055","2,849","31,793","25,867","5,161","20,148","14,371","1,593",440,"29,390","2,172",924,ZIP_CODE-60653-2021
ZIP Code,2021,60654,"21,859",926,"7,081","6,891","2,052","2,412","1,634",615,248,484,364,78,"21,375","20,933","1,672","10,783","11,076","1,835","2,671",898,"15,525",930,ZIP_CODE-60654-2021
ZIP Code,2021,60655,"28,751","7,061","3,795","3,295","4,013","4,273","3,559","1,809",946,"1,619","2,945","2,497","27,132","21,690","4,197","14,472","14,279","2,691",411,"1,498","23,305",846,ZIP_CODE-60655-2021
ZIP Code,2021,60656,"28,665","5,489","3,538","5,182","3,847","3,713","3,727","2,030","1,139","1,865","2,065","1,559","26,800","23,176","5,064","13,832","14,833","3,647","3,241","1,034","20,027",716,ZIP_CODE-60656-2021
ZIP Code,2021,60657,"72,113","9,371","23,860","17,192","7,404","5,857","4,513","2,517","1,399","4,060","3,341","1,970","68,053","62,742","5,948","34,485","37,628","6,393","4,688","2,648","55,384","3,000",ZIP_CODE-60657-2021
ZIP Code,2021,60659,"43,729","11,751","6,546","6,087","5,544","5,914","4,722","1,941","1,224","3,394","4,027","4,320","40,335","31,978","5,117","22,259","21,470","10,484","11,678","3,678","15,716","2,173",ZIP_CODE-60659-2021
ZIP Code,2021,60660,"44,972","5,918","10,937","9,113","5,752","4,907","4,343","2,733","1,269","2,396","2,288","1,184","42,576","39,054","6,121","22,182","22,790","7,934","6,118","6,411","22,391","2,118",ZIP_CODE-60660-2021
ZIP Code,2021,60661,"11,073",870,"3,293","4,199","1,510",726,308,109,58,529,293,48,"10,544","10,203",318,"5,369","5,704",910,"3,177",262,"6,388",336,ZIP_CODE-60661-2021
ZIP Code,2021,60666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZIP_CODE-60666-2021
ZIP Code,2021,60707,"41,309","8,672","5,879","5,966","5,835","5,481","4,876","3,055","1,545","2,030","3,558","3,084","39,279","32,637","6,874","21,941","19,368","16,839","1,491","2,796","19,405",778,ZIP_CODE-60707-2021
ZIP Code,2021,60827,"26,010","8,279","4,338","3,268","3,208","2,792","2,673","1,039",413,"2,374","3,184","2,714","23,636","17,731","2,656","14,285","11,725","1,764",3,"23,328",416,499,ZIP_CODE-60827-2021
ZIP Code,2021,60626,"50,295","8,007","11,937","8,965","6,995","6,738","4,360","2,178","1,115","2,810","2,977","2,165","47,485","42,288","5,098","25,318","24,977","9,694","2,724","12,646","23,029","2,202",ZIP_CODE-60626-2021
ZIP Code,2021,60628,"64,489","13,734","11,638","7,491","7,593","9,066","6,930","4,860","3,177","3,557","5,498","4,657","60,932","50,755","10,940","34,961","29,528","2,775",79,"59,168","1,462","1,005",ZIP_CODE-60628-2021
